Date,3 Month Treasury Rate
01/11/2004,2.07
01/12/2004,2.19
01/01/2005,2.33
01/02/2005,2.54
01/03/2005,2.74
01/04/2005,2.78
01/05/2005,2.84
01/06/2005,2.97
01/07/2005,3.22
01/08/2005,3.44
01/09/2005,3.42
01/10/2005,3.71
01/11/2005,3.88
01/12/2005,3.89
01/01/2006,4.24
01/02/2006,4.43
01/03/2006,4.51
01/04/2006,4.6
01/05/2006,4.72
01/06/2006,4.79
01/07/2006,4.95
01/08/2006,4.96
01/09/2006,4.81
01/10/2006,4.92
01/11/2006,4.94
01/12/2006,4.85
01/01/2007,4.98
01/02/2007,5.03
01/03/2007,4.94
01/04/2007,4.87
01/05/2007,4.73
01/06/2007,4.61
01/07/2007,4.82
01/08/2007,4.2
01/09/2007,3.89
01/10/2007,3.9
01/11/2007,3.27
01/12/2007,3
01/01/2008,2.75
01/02/2008,2.12
01/03/2008,1.26
01/04/2008,1.29
01/05/2008,1.73
01/06/2008,1.86
01/07/2008,1.63
01/08/2008,1.72
01/09/2008,1.13
01/10/2008,0.67
01/11/2008,0.19
01/12/2008,0.03
01/01/2009,0.13
01/02/2009,0.3
01/03/2009,0.21
01/04/2009,0.16
01/05/2009,0.18
01/06/2009,0.18
01/07/2009,0.18
01/08/2009,0.17
01/09/2009,0.12
01/10/2009,0.07
01/11/2009,0.05
01/12/2009,0.05
01/01/2010,0.06
01/02/2010,0.11
01/03/2010,0.15
01/04/2010,0.16
01/05/2010,0.16
01/06/2010,0.12
01/07/2010,0.16
01/08/2010,0.16
01/09/2010,0.15
01/10/2010,0.13
01/11/2010,0.14
01/12/2010,0.14
01/01/2011,0.15
01/02/2011,0.13
01/03/2011,0.1
01/04/2011,0.06
01/05/2011,0.04
01/06/2011,0.04
01/07/2011,0.04
01/08/2011,0.02
01/09/2011,0.01
01/10/2011,0.02
01/11/2011,0.01
01/12/2011,0.01
01/01/2012,0.03
01/02/2012,0.09
01/03/2012,0.08
01/04/2012,0.08
01/05/2012,0.09
01/06/2012,0.09
01/07/2012,0.1
01/08/2012,0.1
01/09/2012,0.11
01/10/2012,0.1
01/11/2012,0.09
01/12/2012,0.07
01/01/2013,0.07
01/02/2013,0.1
01/03/2013,0.09
01/04/2013,0.06
01/05/2013,0.04
01/06/2013,0.05
01/07/2013,0.04
01/08/2013,0.04
01/09/2013,0.02
01/10/2013,0.05
01/11/2013,0.07
01/12/2013,0.07
01/01/2014,0.04
01/02/2014,0.05
01/03/2014,0.05
01/04/2014,0.03
01/05/2014,0.03
01/06/2014,0.04
01/07/2014,0.03
01/08/2014,0.03
01/09/2014,0.02
01/10/2014,0.02
01/11/2014,0.02
01/12/2014,0.03
01/01/2015,0.03
01/02/2015,0.02
01/03/2015,0.03
01/04/2015,0.02
01/05/2015,0.02
01/06/2015,0.02
01/07/2015,0.03
01/08/2015,0.07
01/09/2015,0.02
01/10/2015,0.02
01/11/2015,0.12
01/12/2015,0.23
01/01/2016,0.26
01/02/2016,0.31
01/03/2016,0.29
01/04/2016,0.23
01/05/2016,0.27
01/06/2016,0.27
01/07/2016,0.3
01/08/2016,0.3
01/09/2016,0.29
01/10/2016,0.33
01/11/2016,0.45
01/12/2016,0.51
01/01/2017,0.51
01/02/2017,0.52
01/03/2017,0.74
01/04/2017,0.8
01/05/2017,0.89
01/06/2017,0.98
01/07/2017,1.07
01/08/2017,1.01
01/09/2017,1.03
01/10/2017,1.07
01/11/2017,1.23
01/12/2017,1.32
01/01/2018,1.41
01/02/2018,1.57
01/03/2018,1.7
01/04/2018,1.76
01/05/2018,1.86
01/06/2018,1.9
01/07/2018,1.96
01/08/2018,2.03
01/09/2018,2.13
01/10/2018,2.25
01/11/2018,2.33
01/12/2018,2.37
01/01/2019,2.37
01/02/2019,2.39
01/03/2019,2.4
01/04/2019,2.38
01/05/2019,2.35
01/06/2019,2.17
01/07/2019,2.1
01/08/2019,1.95
01/09/2019,1.89
01/10/2019,1.65
01/11/2019,1.54
01/12/2019,1.54
01/01/2020,1.52
