Date,TLT,GLD,SPY
22/11/2004,53.04,44.95,86.93
23/11/2004,53.11,44.75,87.06
24/11/2004,53.11,45.05,87.27
26/11/2004,52.76,45.29,87.2
29/11/2004,52.2,45.4,86.8
30/11/2004,51.98,45.12,86.86
01/12/2004,51.9,45.38,87.85
02/12/2004,51.69,44.95,87.92
03/12/2004,52.49,45.6,87.86
06/12/2004,52.67,45.17,87.83
07/12/2004,52.74,45.11,87.01
08/12/2004,53.56,44.01,87.52
09/12/2004,53.21,43.78,87.83
10/12/2004,53.34,43.44,87.92
13/12/2004,53.45,43.91,88.69
14/12/2004,53.66,43.55,89
15/12/2004,54.15,43.99,89.06
16/12/2004,53.35,43.68,89.01
17/12/2004,53.28,44.19,88.42
20/12/2004,53.38,44.34,88.44
21/12/2004,53.54,44.22,89.12
22/12/2004,53.36,44.02,89.34
23/12/2004,53.18,44.27,89.4
27/12/2004,52.77,44.48,89.22
28/12/2004,52.73,44.37,89.71
29/12/2004,52.67,43.66,89.84
30/12/2004,53.03,43.83,89.67
31/12/2004,53.36,43.8,89.48
03/01/2005,53.48,43.02,89.05
04/01/2005,52.92,42.74,87.97
05/01/2005,53.2,42.67,87.36
06/01/2005,53.24,42.15,87.8
07/01/2005,53.36,41.84,87.68
10/01/2005,53.44,41.95,88.09
11/01/2005,53.75,42.21,87.48
12/01/2005,53.83,42.6,87.77
13/01/2005,54.34,42.6,87.07
14/01/2005,54.34,42.32,87.53
18/01/2005,54.52,42.32,88.44
19/01/2005,54.68,42.26,87.51
20/01/2005,54.78,42.25,86.98
21/01/2005,54.84,42.74,86.45
24/01/2005,55.08,42.77,86.28
25/01/2005,54.56,42.24,86.52
26/01/2005,54.66,42.69,86.78
27/01/2005,54.56,42.62,86.93
28/01/2005,55.11,42.69,86.93
31/01/2005,55.27,42.22,87.47
01/02/2005,55.18,42.1,88.03
02/02/2005,55.31,42.16,88.29
03/02/2005,55.28,41.68,88.06
04/02/2005,56.04,41.47,89
07/02/2005,56.46,41.27,88.88
08/02/2005,56.78,41.26,88.99
09/02/2005,56.93,41.31,88.32
10/02/2005,56.16,41.75,88.64
11/02/2005,56.13,42.08,89.4
14/02/2005,56.3,42.55,89.34
15/02/2005,56.02,42.58,89.67
16/02/2005,55.81,42.52,89.73
17/02/2005,55.46,42.73,89
18/02/2005,54.96,42.75,89.12
22/02/2005,54.72,43.57,87.8
23/02/2005,54.9,43.42,88.42
24/02/2005,54.78,43.33,89.01
25/02/2005,55.05,43.5,89.89
28/02/2005,54.45,43.53,89.3
01/03/2005,54.44,43.22,89.74
02/03/2005,54.36,43.25,89.7
03/03/2005,54.33,42.97,89.74
04/03/2005,54.92,43.38,90.85
07/03/2005,55.14,43.47,90.9
08/03/2005,54.62,44.03,90.56
09/03/2005,53.73,44.02,89.55
10/03/2005,54.05,44.2,89.75
11/03/2005,53.66,44.43,89.12
14/03/2005,53.98,44.03,89.68
15/03/2005,53.64,44.06,88.94
16/03/2005,53.97,44.31,88.18
17/03/2005,54.14,43.82,88.36
18/03/2005,53.8,43.89,88.1
21/03/2005,53.65,43.09,87.77
22/03/2005,53.2,42.65,86.88
23/03/2005,53.45,42.42,86.95
24/03/2005,53.56,42.39,87.06
28/03/2005,53.23,42.54,87.18
29/03/2005,53.55,42.56,86.6
30/03/2005,53.82,42.61,87.83
31/03/2005,54.21,42.82,87.66
01/04/2005,54.39,42.62,87.27
04/04/2005,54.38,42.4,87.42
05/04/2005,54.24,42.45,87.84
06/04/2005,54.42,42.63,88.14
07/04/2005,53.99,42.57,88.62
08/04/2005,54.17,42.69,87.69
11/04/2005,54.47,42.78,87.76
12/04/2005,54.97,42.84,88.21
13/04/2005,54.84,42.9,87.17
14/04/2005,54.75,42.31,86.04
15/04/2005,55.48,42.4,84.83
18/04/2005,55.44,42.69,85.09
19/04/2005,55.97,43.28,85.77
20/04/2005,55.83,43.4,84.57
21/04/2005,55.25,43.19,86.22
22/04/2005,55.71,43.39,85.89
25/04/2005,55.87,43.44,86.45
26/04/2005,55.79,43.64,85.61
27/04/2005,55.98,43.2,85.95
28/04/2005,56.4,43,84.87
29/04/2005,56.3,43.35,86.02
02/05/2005,56.29,42.88,86.51
03/05/2005,56.44,42.76,86.65
04/05/2005,55.95,42.9,87.32
05/05/2005,56.07,42.91,87.29
06/05/2005,55.66,42.52,87.02
09/05/2005,55.71,42.55,87.56
10/05/2005,56.11,42.64,86.65
11/05/2005,56.28,42.69,87.13
12/05/2005,56.5,42.16,86.17
13/05/2005,56.72,41.95,86
16/05/2005,56.65,41.88,86.8
17/05/2005,56.81,41.86,87.38
18/05/2005,57.19,42.05,88.28
19/05/2005,57.05,41.98,88.65
20/05/2005,57.11,41.65,88.53
23/05/2005,57.56,41.62,89.02
24/05/2005,57.72,41.73,88.81
25/05/2005,57.31,41.87,88.74
26/05/2005,57.3,41.69,89.22
27/05/2005,57.36,41.88,89.37
31/05/2005,58.07,41.65,88.79
01/06/2005,58.78,41.53,89.55
02/06/2005,58.92,42.1,89.75
03/06/2005,58.43,42.17,89.29
06/06/2005,58.74,42.48,89.21
07/06/2005,59.21,42.38,89.28
08/06/2005,58.92,42.34,89.11
09/06/2005,58.88,42.27,89.54
10/06/2005,58.21,42.62,89.33
13/06/2005,57.86,42.78,89.61
14/06/2005,57.48,42.6,89.82
15/06/2005,57.59,42.74,89.99
16/06/2005,57.88,43.46,90.22
17/06/2005,57.87,43.63,90.56
20/06/2005,57.77,43.66,90.59
21/06/2005,58.19,43.81,90.64
22/06/2005,58.9,43.72,90.71
23/06/2005,58.84,44.02,89.44
24/06/2005,59.13,43.9,88.78
27/06/2005,59.29,43.91,88.91
28/06/2005,58.89,43.45,89.65
29/06/2005,58.8,43.63,89.41
30/06/2005,59.32,43.44,88.93
01/07/2005,58.6,42.7,89.19
05/07/2005,58.05,42.28,89.91
06/07/2005,58.37,42.25,89.15
07/07/2005,58.49,42.36,89.5
08/07/2005,58.25,42.26,90.53
11/07/2005,58.25,42.54,90.99
12/07/2005,57.93,42.64,91.23
13/07/2005,57.84,42.35,91.35
14/07/2005,57.69,41.9,91.71
15/07/2005,57.85,42.05,91.66
18/07/2005,57.42,42.01,91.29
19/07/2005,57.62,41.89,91.79
20/07/2005,57.93,42.2,92.11
21/07/2005,57.15,42.46,91.57
22/07/2005,57.59,42.45,92.18
25/07/2005,57.38,42.51,91.92
26/07/2005,57.47,42.25,92.03
27/07/2005,57.38,42.44,92.37
28/07/2005,57.89,42.75,92.95
29/07/2005,57.32,42.82,92.33
01/08/2005,57.1,43.13,92.26
02/08/2005,56.92,43.14,92.82
03/08/2005,57.2,43.53,93.06
04/08/2005,57.08,43.68,92.32
05/08/2005,56.64,43.6,91.69
08/08/2005,56.53,43.35,91.52
09/08/2005,56.74,43.34,92.07
10/08/2005,56.68,43.65,92.03
11/08/2005,57.07,44.45,92.39
12/08/2005,57.65,44.49,91.82
15/08/2005,57.51,44.13,92.39
16/08/2005,57.91,44.55,91.19
17/08/2005,57.53,43.91,91.18
18/08/2005,57.95,43.83,91.18
19/08/2005,57.95,43.6,91.38
22/08/2005,57.88,43.7,91.38
23/08/2005,58.15,43.76,91.21
24/08/2005,58.2,43.59,90.4
25/08/2005,58.39,43.73,90.73
26/08/2005,58.37,43.61,90.11
29/08/2005,58.45,43.57,90.8
30/08/2005,58.82,43.01,90.32
31/08/2005,59.31,43.4,91.47
01/09/2005,58.95,44.22,91.4
02/09/2005,59,44.25,91.23
06/09/2005,58.59,44.27,92.3
07/09/2005,58.04,44.33,92.46
08/09/2005,58.1,44.6,92.15
09/09/2005,58.28,44.84,92.97
12/09/2005,57.88,44.89,92.79
13/09/2005,58.18,44.56,92.27
14/09/2005,57.96,44.96,91.94
15/09/2005,57.48,45.42,91.89
16/09/2005,57.11,45.82,92.54
19/09/2005,57.23,46.25,92.24
20/09/2005,57.38,46.23,91.46
21/09/2005,57.91,47.06,90.6
22/09/2005,57.86,46.36,90.93
23/09/2005,57.42,46.28,91
26/09/2005,57.16,46.57,91.11
27/09/2005,57.24,46.25,91.08
28/09/2005,57.63,46.8,91.17
29/09/2005,57.37,47.1,91.92
30/09/2005,57.17,46.7,92.2
03/10/2005,56.72,46.42,91.87
04/10/2005,56.91,46.45,90.84
05/10/2005,57.16,46.36,89.64
06/10/2005,56.94,47.21,89.32
07/10/2005,57.17,47.36,89.63
10/10/2005,57.13,47.37,88.87
11/10/2005,57.01,47.39,88.75
12/10/2005,56.46,46.85,88.05
13/10/2005,56.25,47.02,88
14/10/2005,56.17,46.8,88.93
17/10/2005,56.15,47.26,89.26
18/10/2005,56.22,47,88.29
19/10/2005,56.24,46.34,89.76
20/10/2005,56.39,45.98,88.18
21/10/2005,56.91,46.52,88.52
24/10/2005,56.47,46.39,89.89
25/10/2005,55.99,47.06,89.71
26/10/2005,55.58,46.93,89.45
27/10/2005,55.77,47.18,88.5
28/10/2005,55.78,47.22,89.77
31/10/2005,55.89,46.4,90.02
01/11/2005,55.82,45.73,90.29
02/11/2005,55.56,46.13,91.23
03/11/2005,55.18,45.96,91.62
04/11/2005,55.1,45.51,91.5
07/11/2005,55.28,45.77,91.59
08/11/2005,55.82,45.91,91.59
09/11/2005,55.25,46.56,91.71
10/11/2005,55.92,46.48,92.42
11/11/2005,55.95,46.8,92.74
14/11/2005,55.53,46.62,92.69
15/11/2005,55.9,46.66,92.35
16/11/2005,56.49,47.78,92.54
17/11/2005,56.62,48.48,93.4
18/11/2005,56.36,48.46,93.77
21/11/2005,56.53,48.99,94.24
22/11/2005,56.6,49.32,94.64
23/11/2005,56.39,49.15,95.19
25/11/2005,56.59,49.42,95.26
28/11/2005,56.87,49.74,94.59
29/11/2005,56.34,49.8,94.49
30/11/2005,56.27,49.1,93.98
01/12/2005,56.18,50.17,94.94
02/12/2005,56.2,50.32,95.06
05/12/2005,55.95,50.78,94.85
06/12/2005,56.52,50.89,95.03
07/12/2005,56.31,51.32,94.48
